Chapter,Location,Charity Name,Focus,Website,Contact Email
CH.01,Mediterranean Sea (Italy),Marevivo,Marine conservation & anti-pollution advocacy in Italian waters,marevivo.it,info@marevivo.it
CH.01,Mediterranean Sea (Italy),MedSOS,Marine mammal rescue and coastal cleanup in Italy,medsos.it,info@medsos.it
CH.01,Mediterranean Sea (Italy),Legambiente Mare,Italian coastal cleanup campaigns & citizen science,legambiente.it,info@legambiente.it
CH.02,Red Sea (Egypt),Hurghada Environmental Protection and Conservation Association (HEPCA),Coral reef & Red Sea marine habitat protection,hepca.com,info@hepca.com
CH.02,Red Sea (Egypt),Red Sea Environmental Centre,Coral monitoring & sustainable fishing advocacy in Egypt,redsea-environmental.com,contact@redsea-environmental.com
CH.02,Red Sea (Egypt),Save Nemo Red Sea,Reef cleanup dives and plastic removal in the Red Sea,savenemo.org,hello@savenemo.org
CH.03,Arabian Sea,Reef Arabia,Coral reef restoration and marine debris removal in the Arabian Gulf,reefarabia.com,info@reefarabia.com
CH.03,Arabian Sea,Emirates Wildlife Society,Ocean and wildlife conservation across UAE and Arabian Sea,emirateswildlifesociety.org,info@emirateswildlifesociety.org
CH.03,Arabian Sea,Azraq Marine Conservation,Sea turtle and dugong protection along Arabian coasts,azraqmarine.org,contact@azraqmarine.org
CH.04,Indian Ocean,Reef Conservation Mauritius,Coral reef restoration & marine biodiversity in the Indian Ocean,reefconservation.mu,info@reefconservation.mu
CH.04,Indian Ocean,Olive Ridley Project,Sea turtle rescue and ghost gear removal across the Indian Ocean,oliveridleyproject.org,info@oliveridleyproject.org
CH.04,Indian Ocean,Save Our Seas Foundation – Indian Ocean,Shark & ray conservation and plastic pollution reduction,saveourseas.com,info@saveourseas.com
CH.05,Philippine Sea,Reef Check Philippines,Coral reef monitoring and marine stewardship in Philippine waters,reefcheckphilippines.org,info@reefcheckphilippines.org
CH.05,Philippine Sea,Oceana Philippines,Policy advocacy for sustainable fisheries in the Philippine Sea,ph.oceana.org,philippines@oceana.org
CH.05,Philippine Sea,Save Philippine Seas,Citizen-led coastal cleanups and marine wildlife protection,savephilippineseas.org,info@savephilippineseas.org
CH.06,South Pacific Ocean,Plastic Pollution Alliance – Pacific,Pacific Island plastic collection & waste reduction advocacy,plasticpollutioncoalition.org,info@plasticpollutioncoalition.org
CH.06,South Pacific Ocean,Te Ipukarea Society (Cook Islands),Marine biodiversity conservation across the Cook Islands,tiscookislands.org,info@tiscookislands.org
CH.06,South Pacific Ocean,Locally Managed Marine Area Network,Community-driven reef management across Pacific Island nations,lmmanetwork.org,info@lmmanetwork.org
CH.07,North Pacific Ocean,Pacific Whale Foundation,Whale research and ocean plastic reduction in the North Pacific,pacificwhale.org,info@pacificwhale.org
CH.07,North Pacific Ocean,Algalita Marine Research & Education,Plastic pollution research in the North Pacific Gyre,algalita.org,info@algalita.org
CH.07,North Pacific Ocean,Hawaii Wildlife Fund,Marine debris removal and nesting sea turtle protection in Hawaii,wildhawaii.org,info@wildhawaii.org
CH.08,Bering Sea,Alaska Marine Conservation Council,Sustainable fisheries and ocean health advocacy in Alaska,akmarine.org,info@akmarine.org
CH.08,Bering Sea,Pacific Environment,Arctic and Bering Sea oil spill prevention and climate advocacy,pacificenvironment.org,info@pacificenvironment.org
CH.08,Bering Sea,Bering Sea Elders Group,Indigenous-led stewardship of Bering Sea marine resources,beringseaelders.org,info@beringseaelders.org
CH.09,North Atlantic Ocean,Marine Conservation Society (UK),Marine litter surveys and policy campaigns in the North Atlantic,mcsuk.org,info@mcsuk.org
CH.09,North Atlantic Ocean,KIMO International,Local authority-led anti-littering campaigns in North Atlantic coastal communities,kimointernational.org,info@kimointernational.org
CH.09,North Atlantic Ocean,Deep Ocean Quest,Deep-sea habitat exploration and conservation in the North Atlantic,deepoceanquest.org,info@deepoceanquest.org
CH.10,Gulf of Mexico,CoastCare Gulf,Volunteer beach and wetland cleanup programs across the Gulf Coast,coastcaregulf.org,info@coastcaregulf.org
CH.10,Gulf of Mexico,Gulf Restoration Network,Wetlands protection and pollution reduction in the Gulf of Mexico,healthygulf.org,info@healthygulf.org
CH.10,Gulf of Mexico,Turtle Island Restoration Network – Gulf,Sea turtle nesting beach monitoring along the Gulf Coast,seaturtles.org,gulf@seaturtles.org
CH.11,South Atlantic Ocean,Fundação Atlantis (Brazil),Coral reef mapping and marine park advocacy in the South Atlantic,fundacaoatlantis.org,info@fundacaoatlantis.org
CH.11,South Atlantic Ocean,African Marine Waste Network,Beach cleanup coordination along West African South Atlantic coastlines,africanmarinewaste.net,info@africanmarinewaste.net
CH.11,South Atlantic Ocean,Whale and Dolphin Conservation – South Atlantic,Cetacean research and entanglement prevention in the South Atlantic,uk.whales.org,info@uk.whales.org
CH.12,Mediterranean Sea – Return (Italy),MedSea Foundation,Mediterranean pollution monitoring and blue economy advocacy,medsea.eu,info@medsea.eu
CH.12,Mediterranean Sea – Return (Italy),Associazione Earthcare Italia,Coastal ecosystem restoration and marine education in Italy,earthcare.it,info@earthcare.it
CH.12,Mediterranean Sea – Return (Italy),Fondazione Cetacea,Sea turtle rehabilitation and marine conservation education in Italy,fondazionecetacea.org,info@fondazionecetacea.org
